,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
8,Faanui,PF,80.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
10,Atar,MR,78.15,overcast clouds,20.5169,-13.0499,Oumou Elghoura
17,Hilo,US,82.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
20,Mahajanga,MG,78.82,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
22,Butaritari,KI,79.3,light rain,3.0707,172.7902,Isles Sunset Lodge
36,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
44,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
49,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Charters Towers,AU,84.0,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
54,Tecoanapa,MX,83.43,scattered clouds,16.5167,-98.75,Hotel Manglares
57,Tual,ID,83.66,broken clouds,-5.6667,132.75,Grand Vilia Hotel
58,Riyadh,SA,78.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
68,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
69,Mapastepec,MX,82.44,broken clouds,15.4333,-92.9,Hotel San Carlos
71,Gewane,ET,78.31,clear sky,10.1664,40.6453,Ayelu pension
73,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
75,Pacific Grove,US,78.62,clear sky,36.6177,-121.9166,Lovers Point Inn
80,Celestun,MX,85.32,few clouds,20.8667,-90.4,Posada Lilia
83,Taoudenni,ML,85.6,overcast clouds,22.6783,-3.9836,
84,Santo Antonio Do Taua,BR,82.35,overcast clouds,-1.1519,-48.1294,Pousada Magno
92,Pochutla,MX,86.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
97,Cabo San Lucas,MX,85.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
99,Carutapera,BR,79.16,broken clouds,-1.195,-46.02,Lidera
123,Biak,ID,79.9,clear sky,-0.9131,122.8766,Penginapan Kim
128,Kendari,ID,79.27,broken clouds,-3.945,122.4989,Hotel Wixel
129,Arari,BR,78.67,scattered clouds,-3.4536,-44.78,Churrascaria E Hotel Brisa Do Mearim
