,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ryotsu,JP,38.0833,138.4333,60.4,58,34,10.65,scattered clouds
1,Sitka,US,57.0531,-135.33,46.29,76,90,9.22,light rain
2,Asau,RO,46.4333,26.4,43.75,79,20,4.32,few clouds
3,Albany,US,42.6001,-73.9662,52.81,71,98,5.57,overcast clouds
4,Port Alfred,ZA,-33.5906,26.891,66.78,84,100,31.9,overcast clouds
5,Barrow,US,71.2906,-156.7887,21.22,86,90,4.61,overcast clouds
6,Salme,NP,28.0369,85.0942,52.09,64,0,6.71,clear sky
7,Jamestown,US,42.097,-79.2353,51.12,89,1,1.01,clear sky
8,Faanui,PF,-16.4833,-151.75,80.01,77,66,6.26,light rain
9,Busselton,AU,-33.65,115.3333,49.05,74,86,9.48,overcast clouds
10,Atar,MR,20.5169,-13.0499,78.15,50,98,4.14,overcast clouds
11,Komsomolskiy,UZ,40.4272,71.7189,48.92,57,100,6.91,haze
12,Ushuaia,AR,-54.8,-68.3,47.86,57,20,19.57,few clouds
13,Chaozhou,CN,23.6651,116.6379,70.93,88,77,2.1,light rain
14,Paamiut,GL,61.994,-49.6678,31.21,70,49,13.8,scattered clouds
15,Vieste,IT,41.8825,16.175,59.27,66,33,10.47,scattered clouds
16,Ierapetra,GR,35.01,25.7353,64.15,71,97,8.99,overcast clouds
17,Hilo,US,19.7297,-155.09,82.13,68,1,8.05,clear sky
18,Fortuna,US,40.5982,-124.1573,71.92,67,40,3.0,scattered clouds
19,Klaksvik,FO,62.2266,-6.589,45.52,88,100,24.63,overcast clouds
20,Mahajanga,MG,-15.7167,46.3167,78.82,78,40,4.61,scattered clouds
21,Shimoda,JP,34.6667,138.95,61.11,78,84,10.67,broken clouds
22,Butaritari,KI,3.0707,172.7902,79.3,81,100,8.34,light rain
23,Punta Arenas,CL,-53.15,-70.9167,51.91,50,0,13.8,clear sky
24,Rikitea,PF,-23.1203,-134.9692,74.23,78,18,6.38,few clouds
25,Mastic Beach,US,40.7668,-72.8521,57.04,81,90,1.01,overcast clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,69.55,90,90,1.99,overcast clouds
27,Barcelona,ES,41.3888,2.159,60.87,83,20,1.99,few clouds
28,Saint-Francois,FR,46.4154,3.9054,42.48,99,90,0.0,fog
29,Hasaki,JP,35.7333,140.8333,57.6,72,100,8.16,overcast clouds
30,Lexington,US,37.9887,-84.4777,53.98,68,1,6.91,clear sky
31,Bengkulu,ID,-3.8004,102.2655,76.75,83,100,4.09,overcast clouds
32,Mataura,NZ,-46.1927,168.8643,67.62,52,9,3.51,clear sky
33,Ampanihy,MG,-24.7,44.75,66.94,76,100,14.79,overcast clouds
34,Masumbwe,TZ,-3.6333,32.1833,72.43,56,80,4.27,broken clouds
35,Kahta,TR,37.7855,38.6237,56.57,23,98,3.18,overcast clouds
36,Olinda,BR,-8.0089,-34.8553,80.33,69,40,10.36,scattered clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,72.61,90,100,17.83,overcast clouds
38,Bhikangaon,IN,21.8667,75.95,67.87,66,9,5.41,clear sky
39,Narsaq,GL,60.9167,-46.05,28.62,65,22,7.4,few clouds
40,Port-Gentil,GA,-0.7193,8.7815,77.54,86,100,14.23,light rain
41,Serov,RU,59.6033,60.5787,32.07,97,100,8.75,snow
42,Jibuti,DJ,11.5,42.5,76.42,64,6,13.85,clear sky
43,Shumikha,RU,55.2261,63.2961,32.23,79,100,11.3,overcast clouds
44,Vaini,TO,-21.2,-175.2,78.96,83,20,10.36,few clouds
45,Hamilton,US,39.1834,-84.5333,52.57,81,20,1.99,few clouds
46,Maragogi,BR,-9.0122,-35.2225,76.84,82,52,10.04,broken clouds
47,Souillac,MU,-20.5167,57.5167,72.36,77,3,6.91,clear sky
48,Bantul,ID,-7.8881,110.3289,76.75,90,99,2.46,overcast clouds
49,Kapaa,US,22.0752,-159.319,84.18,72,1,5.99,clear sky
50,Nizhniy Kuranakh,RU,58.8353,125.4869,32.72,81,100,7.34,overcast clouds
51,Xichang,CN,27.8964,102.2634,55.71,85,93,2.8,overcast clouds
52,Charters Towers,AU,-20.1,146.2667,84.0,44,3,17.05,clear sky
53,Le Port,RE,-20.9373,55.2919,69.8,78,23,7.58,few clouds
54,Tecoanapa,MX,16.5167,-98.75,83.43,77,31,7.61,scattered clouds
55,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,36,7.36,scattered clouds
56,Yellowknife,CA,62.456,-114.3525,39.42,99,98,5.01,overcast clouds
57,Tual,ID,-5.6667,132.75,83.66,77,54,10.56,broken clouds
58,Riyadh,SA,24.6877,46.7219,78.94,24,42,10.85,scattered clouds
59,Kodiak,US,57.79,-152.4072,44.11,49,1,3.44,clear sky
60,Hobart,AU,-42.8794,147.3294,71.02,61,20,17.27,few clouds
61,Aripuana,BR,-9.1667,-60.6333,74.53,94,99,2.66,overcast clouds
62,Deputatskiy,RU,69.3,139.9,0.75,98,100,2.35,overcast clouds
63,East London,ZA,-33.0153,27.9116,67.17,82,100,21.97,overcast clouds
64,Dikson,RU,73.5069,80.5464,5.45,95,59,5.12,broken clouds
65,Clyde River,CA,70.4692,-68.5914,26.4,82,100,2.82,overcast clouds
66,Nikolskoye,RU,59.7035,30.7861,46.87,94,100,6.53,light rain
67,Lavrentiya,RU,65.5833,-171.0,15.49,71,55,7.56,broken clouds
68,Touros,BR,-5.1989,-35.4608,79.7,76,4,16.96,clear sky
69,Mapastepec,MX,15.4333,-92.9,82.44,87,72,3.53,broken clouds
70,Cape Town,ZA,-33.9258,18.4232,64.09,82,70,1.99,broken clouds
71,Gewane,ET,10.1664,40.6453,78.31,34,4,3.89,clear sky
72,Sobolevo,RU,54.4299,31.8996,44.29,91,98,16.62,moderate rain
73,Georgetown,MY,5.4112,100.3354,80.89,90,20,3.44,few clouds
74,Tuatapere,NZ,-46.1333,167.6833,65.35,59,6,1.79,clear sky
75,Pacific Grove,US,36.6177,-121.9166,78.62,75,1,1.01,clear sky
76,Tanabe,JP,33.7333,135.3667,61.81,67,20,9.22,few clouds
77,Morondava,MG,-20.2833,44.2833,71.76,85,1,10.67,clear sky
78,Khatanga,RU,71.9667,102.5,3.11,94,100,11.39,overcast clouds
79,Cidreira,BR,-30.1811,-50.2056,68.34,86,0,11.27,clear sky
80,Celestun,MX,20.8667,-90.4,85.32,71,13,6.08,few clouds
81,Nantucket,US,41.2835,-70.0995,52.14,91,100,43.53,overcast clouds
82,Bluff,NZ,-46.6,168.3333,58.71,69,7,6.08,clear sky
83,Taoudenni,ML,22.6783,-3.9836,85.6,17,95,17.0,overcast clouds
84,Santo Antonio Do Taua,BR,-1.1519,-48.1294,82.35,91,99,4.09,overcast clouds
85,Rawson,AR,-43.3002,-65.1023,73.62,31,1,24.87,clear sky
86,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,86,99,9.01,overcast clouds
87,La Rioja,ES,42.25,-2.5,44.49,62,5,4.76,clear sky
88,Ust-Kuyga,RU,70.0167,135.6,1.18,100,94,2.75,overcast clouds
89,Verkhoyansk,RU,67.5447,133.385,1.02,99,92,1.03,overcast clouds
90,Mazamari,PE,-11.3258,-74.5308,77.68,68,88,1.48,overcast clouds
91,Togur,RU,58.3631,82.8265,24.28,91,38,6.26,scattered clouds
92,Pochutla,MX,15.7432,-96.4661,86.83,74,49,7.7,scattered clouds
93,Hermanus,ZA,-34.4187,19.2345,61.9,93,81,5.1,broken clouds
94,Castro,BR,-24.7911,-50.0119,62.82,96,99,7.92,overcast clouds
95,Kuala Terengganu,MY,5.3302,103.1408,77.74,87,65,3.04,broken clouds
96,Buraydah,SA,26.326,43.975,75.52,16,99,9.13,overcast clouds
97,Cabo San Lucas,MX,22.8909,-109.9124,85.3,65,20,8.05,few clouds
98,Iqaluit,CA,63.7506,-68.5145,27.7,92,58,4.0,broken clouds
99,Carutapera,BR,-1.195,-46.02,79.16,79,79,6.96,broken clouds
100,Saskylakh,RU,71.9167,114.0833,-6.59,100,100,3.6,overcast clouds
101,Bukachacha,RU,52.9833,116.9167,29.98,76,92,1.32,overcast clouds
102,Ponta Do Sol,PT,32.6667,-17.1,68.72,69,5,2.19,clear sky
103,Tuktoyaktuk,CA,69.4541,-133.0374,27.09,97,94,5.64,overcast clouds
104,Mount Gambier,AU,-37.8333,140.7667,57.11,94,90,9.22,overcast clouds
105,Khorinsk,RU,52.1657,109.7726,32.05,72,84,1.66,broken clouds
106,Hirara,JP,24.8,125.2833,74.98,60,31,17.9,scattered clouds
107,Katsuura,JP,35.1333,140.3,64.11,83,98,8.93,overcast clouds
108,Hope,US,33.6671,-93.5916,69.85,89,98,8.37,overcast clouds
109,Otradnoye,RU,59.7775,30.8181,46.04,94,100,6.49,light rain
110,Lasa,IT,46.6166,10.7002,39.02,41,1,2.37,clear sky
111,Wuwei,CN,37.9281,102.6414,38.91,48,6,2.75,clear sky
112,Nanpiao,CN,41.0982,120.7479,48.06,46,0,3.27,clear sky
113,Yumen,CN,40.2833,97.2,40.48,45,2,13.67,clear sky
114,Sao Jose Do Rio Pardo,BR,-21.5956,-46.8886,67.8,97,100,2.46,light rain
115,Calabar,NG,4.9517,8.322,74.86,92,79,2.44,broken clouds
116,Atuona,PF,-9.8,-139.0333,77.59,69,7,14.29,clear sky
117,Kardla,EE,58.9978,22.7492,48.06,84,38,11.41,scattered clouds
118,Gardendale,US,33.6601,-86.8128,68.38,68,75,4.61,broken clouds
119,Naryan-Mar,RU,67.6713,53.087,20.41,86,100,11.32,overcast clouds
120,Yarkovo,RU,57.4028,67.0786,31.26,85,100,9.57,overcast clouds
121,Kalikapur,IN,22.6167,86.2833,70.65,80,24,2.44,few clouds
122,Mar Del Plata,AR,-38.0023,-57.5575,66.22,81,0,11.99,clear sky
123,Biak,ID,-0.9131,122.8766,79.9,76,8,1.92,clear sky
124,Beringovskiy,RU,63.05,179.3167,9.14,79,67,14.29,broken clouds
125,Russell,US,32.3502,-85.1999,69.4,81,20,0.0,few clouds
126,New Norfolk,AU,-42.7826,147.0587,70.66,38,26,1.99,scattered clouds
127,Valparaiso,CL,-33.0393,-71.6273,61.48,75,20,5.75,few clouds
128,Kendari,ID,-3.945,122.4989,79.27,88,53,0.96,broken clouds
129,Arari,BR,-3.4536,-44.78,78.67,79,33,7.0,scattered clouds
130,Nome,US,64.5011,-165.4064,24.87,59,1,6.91,clear sky
131,Richards Bay,ZA,-28.783,32.0377,66.11,81,100,5.48,overcast clouds
132,San Quintin,MX,30.4833,-115.95,71.35,47,0,9.31,clear sky
133,Jamame,SO,0.0722,42.7506,77.09,85,5,8.46,clear sky
134,Avarua,CK,-21.2078,-159.775,78.85,65,75,9.22,broken clouds
135,Amboasary,MG,-25.0333,46.3833,69.64,78,81,15.52,light rain
136,Flinders,AU,-34.5833,150.8552,78.06,67,62,0.45,broken clouds
137,Sarangani,PH,5.4033,125.4636,83.46,73,98,9.1,overcast clouds
138,Domoni,KM,-12.2569,44.5319,76.87,79,3,4.74,clear sky
139,Airai,TL,-8.9266,125.4092,68.05,66,88,2.71,overcast clouds
140,Naantali,FI,60.4674,22.0243,46.85,93,17,5.75,few clouds
141,Pasinler,TR,39.9803,41.6764,23.99,38,0,1.05,clear sky
142,Lebu,CL,-37.6167,-73.65,54.01,84,44,13.2,scattered clouds
143,Erzincan,TR,39.75,39.5,27.7,80,0,3.44,clear sky
144,Qaanaaq,GL,77.484,-69.3632,20.57,95,100,10.58,overcast clouds
145,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,3.44,broken clouds
146,Palmer,US,42.1584,-72.3287,53.47,82,100,8.61,overcast clouds
147,Husavik,IS,66.0449,-17.3389,39.69,97,100,2.42,overcast clouds
148,Bridgetown,BB,13.1,-59.6167,81.09,78,40,14.97,scattered clouds
149,Codrington,AU,-38.2667,141.9667,57.56,86,98,10.16,overcast clouds
150,Pisco,PE,-13.7,-76.2167,64.45,72,0,18.41,clear sky
151,Korla,CN,41.7597,86.1469,45.9,46,5,2.39,clear sky
152,Bredasdorp,ZA,-34.5322,20.0403,62.1,97,76,2.8,broken clouds
153,North Bend,US,43.4065,-124.2243,68.94,91,90,9.22,haze
154,Ostrovnoy,RU,68.0531,39.5131,31.53,64,99,15.26,light snow
155,Bindura,ZW,-17.3019,31.3306,63.91,75,16,2.95,few clouds
156,Sao Filipe,CV,14.8961,-24.4956,79.07,76,94,9.86,overcast clouds
157,Roebourne,AU,-20.7833,117.1333,76.75,27,5,8.41,clear sky
158,Tiznit,MA,29.5833,-9.5,58.96,78,6,1.9,clear sky
159,Kutum,SD,14.2,24.6667,71.82,18,5,10.36,clear sky
160,Bethel,US,41.3712,-73.414,54.7,83,40,5.75,scattered clouds
161,Chuy,UY,-33.6971,-53.4616,66.79,74,0,5.97,clear sky
162,Biltine,TD,14.5333,20.9167,81.88,17,0,7.99,clear sky
163,Padang,ID,-0.9492,100.3543,76.03,76,93,4.16,moderate rain
164,Charlottesville,US,38.0293,-78.4767,64.65,83,0,2.84,clear sky
165,Tiksi,RU,71.6872,128.8694,2.62,99,77,4.76,broken clouds
166,Esperance,AU,-33.8667,121.9,51.64,63,89,23.24,overcast clouds
167,Ust-Abakan,RU,53.8525,91.3742,15.71,86,0,2.24,clear sky
168,Springbok,ZA,-29.6643,17.8865,69.3,36,98,9.4,overcast clouds
169,Yaounde,CM,3.8667,11.5167,67.69,100,99,3.09,light rain
170,Presidente Medici,BR,-11.1753,-61.9014,78.17,73,84,3.02,broken clouds
171,Sesheke,ZM,-17.4759,24.2968,75.78,46,64,6.02,broken clouds
172,Tazovskiy,RU,67.4667,78.7,2.01,95,77,5.61,broken clouds
