,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ryotsu,JP,2021-10-27 22:24:37,38.0833,138.4333,62.56,65,37,10.29
1,Sitka,US,2021-10-27 22:24:37,57.0531,-135.33,46.29,81,90,16.11
2,Asau,RO,2021-10-27 22:24:38,46.4333,26.4,44.76,75,19,4.16
3,Albany,US,2021-10-27 22:24:38,42.6001,-73.9662,55.81,70,98,1.01
4,Port Alfred,ZA,2021-10-27 22:24:02,-33.5906,26.891,67.1,82,100,32.91
5,Barrow,US,2021-10-27 22:23:22,71.2906,-156.7887,19.42,93,90,3.44
6,Salme,NP,2021-10-27 22:24:39,28.0369,85.0942,53.89,67,0,6.62
7,Jamestown,US,2021-10-27 22:24:39,42.097,-79.2353,53.19,80,1,1.99
8,Faanui,PF,2021-10-27 22:24:40,-16.4833,-151.75,79.25,79,58,6.55
9,Busselton,AU,2021-10-27 22:23:39,-33.65,115.3333,45.05,75,83,9.33
10,Atar,MR,2021-10-27 22:24:40,20.5169,-13.0499,78.4,50,100,6.49
11,Komsomolskiy,UZ,2021-10-27 22:24:41,40.4272,71.7189,48.92,57,100,6.91
12,Ushuaia,AR,2021-10-27 22:23:18,-54.8,-68.3,49.66,50,20,26.46
13,Chaozhou,CN,2021-10-27 22:24:41,23.6651,116.6379,73.26,89,81,2.55
14,Paamiut,GL,2021-10-27 22:23:15,61.994,-49.6678,31.23,68,56,12.03
15,Vieste,IT,2021-10-27 22:24:42,41.8825,16.175,52.3,66,32,10.96
16,Ierapetra,GR,2021-10-27 22:24:42,35.01,25.7353,64.15,71,98,8.01
17,Hilo,US,2021-10-27 22:21:16,19.7297,-155.09,81.25,68,20,6.91
18,Fortuna,US,2021-10-27 22:23:04,40.5982,-124.1573,70.36,67,75,3.0
19,Klaksvik,FO,2021-10-27 22:24:43,62.2266,-6.589,45.52,90,100,27.0
20,Mahajanga,MG,2021-10-27 22:24:43,-15.7167,46.3167,78.82,78,40,8.05
21,Shimoda,JP,2021-10-27 22:24:22,34.6667,138.95,60.1,78,94,8.23
22,Butaritari,KI,2021-10-27 22:24:44,3.0707,172.7902,80.73,76,100,9.46
23,Punta Arenas,CL,2021-10-27 22:22:12,-53.15,-70.9167,53.71,47,0,16.11
24,Rikitea,PF,2021-10-27 22:24:44,-23.1203,-134.9692,74.05,78,22,6.64
25,Mastic Beach,US,2021-10-27 22:24:45,40.7668,-72.8521,57.33,81,90,1.99
26,Puerto Ayora,EC,2021-10-27 22:24:10,-0.7393,-90.3518,75.16,91,91,3.0
27,Barcelona,ES,2021-10-27 22:24:46,41.3888,2.159,62.85,81,20,1.01
28,Saint-Francois,FR,2021-10-27 22:24:46,46.4154,3.9054,42.48,99,90,2.3
